,age_range,gender,marital_status,region,highest_education,school,graduation,study_programme,employment_status,last_year_benefitted,total_loan,loan_purpose,repayment_status,repayment_info_source,repayment_method,repayment_method_convenience,effectiveness_repayment_method,collection_strategy_effectiveness,interaction_quality_on_repayment,alternative_collection_strategies,overall_experience_with_loan_process,reCoMmendations
271,21 to 27,Male,Single,northern,Bachelor,CoM,2017.0,MBBS,Employed_fulltime,2016,"Above MWK1,000,000",Tuition_Living,Partially_paid,Email,monthly_salary,neutral,neutral,effective,neutral,Clear communication,neutral,"Improve communication and follow-up, Reduce interest rates"
272,Above 49,Male,Married,northern,Doctorate,CoM,1999.0,MBBS,Employed_fulltime,1998,"MWK 300,001 – MWK 500,000",Tuition_Living,Fully_paid,Inperson,monthly_salary,convenient,effective,neutral,neutral,Early intervention,Satisfied,"Improve communication and follow-up, Reduce interest rates"
273,28 to 37,Female,Married,Southern,Bachelor,CoM,2007.0,MBBS,Employed_fulltime,2006,"MWK 300,001 – MWK 500,000",Tuition_Living,Partially_paid,Inperson,monthly_salary,neutral,effective,neutral,neutral,Early intervention,neutral,"Improve communication and follow-up, Reduce interest rates"
274,38 to 48,Male,Widowed,Central,Master,CoM,2014.0,MBBS,Employed_fulltime,2013,"Above MWK1,000,000",Tuition_Living,Partially_paid,Inperson,voluntary_monthly,neutral,effective,neutral,neutral,Clear communication,neutral,"Improve communication and follow-up, Simplify repayment methods, Reduce interest rates"
275,38 to 48,Male,Divorced,Southern,Bachelor,Mzuni,2004.0,MBBS,Employed_fulltime,2003,"MWK 600,001 – MWK 1,000,000",Tuition_Living,Fully_paid,Inperson,monthly_salary,neutral,effective,neutral,neutral,Work with borrowers to find matually beneficial solutions,neutral,"Improve communication and follow-up, Reduce interest rates"
276,38 to 48,Male,Married,northern,Master,Mzuni,2015.0,MBBS,Employed_fulltime,2014,"MWK 600,001 – MWK 1,000,000",Tuition_Living,Fully_paid,Inperson,voluntary_monthly,convenient,neutral,neutral,neutral,Improve communication,neutral,"Improve communication and follow-up, Reduce interest rates"
277,28 to 37,Male,Married,Central,Master,CoM,2009.0,MBBS,Employed_fulltime,2008,"MWK 300,001 – MWK 500,000",Tuition_Living,Fully_paid,Inperson,monthly_salary,convenient,effective,effective,positive,Technology integration,neutral,"Provide more flexible repayment plans, Reduce interest rates"
278,21 to 27,Male,Single,Central,Bachelor,CoM,2013.0,MBBS,Employed_fulltime,2013,"Above MWK1,000,000",Tuition_Living,Partially_paid,Email,monthly_salary,neutral,neutral,neutral,neutral,Performance monitoring,neutral,"Provide more flexible repayment plans, Reduce interest rates"
279,38 to 48,Female,Married,Central,Bachelor,CoM,2010.0,MBBS,Employed_fulltime,2009,"MWK 600,001 – MWK 1,000,000",Tuition_Living,Fully_paid,Inperson,monthly_salary,neutral,neutral,effective,positive,Clear communication strategies,Satisfied,"Simplify repayment methods, Reduce interest rates"
280,28 to 37,Male,Married,Southern,Bachelor,CoM,2016.0,MBBS,Employed_fulltime,2015,"Above MWK1,000,000",Tuition_Living,Partially_paid,Inperson,monthly_salary,neutral,effective,neutral,positive,Technology integration,Satisfied,"Improve communication and follow-up, Reduce interest rates"
281,28 to 37,Male,Single,Central,Bachelor,CoM,2013.0,MBBS,Employed_parttime,2012,"Above MWK1,000,000",Tuition,not_paid,Employer,none,inconvenient,ineffective,neutral,neutral,Automate the system,neutral,"Provide more flexible repayment plans, Reduce interest rates"
282,Above 49,Female,Married,northern,Doctorate,Mzuni,2001.0,MBBS,Employed_fulltime,2000,"MWK 300,001 – MWK 500,000",Tuition,Fully_paid,Inperson,voluntary_monthly,neutral,effective,effective,positive,Improve communication,neutral,"Simplify repayment methods, Reduce interest rates"
283,21 to 27,Male,Single,Central,Bachelor,Mzuni,2013.0,MBBS,Self_employed,2012,"Above MWK1,000,000",Tuition_Living,not_paid,Inperson,none,inconvenient,ineffective,neutral,neutral,Automate the system,neutral,"Simplify repayment methods, Reduce interest rates"
284,38 to 48,Female,Married,Central,Master,CoM,2016.0,MBBS,Employed_fulltime,2015,"Above MWK1,000,000",Tuition_Living,Partially_paid,Email_Inperson,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Automate the system,Very satisfied,Reduce interest rates
285,38 to 48,Male,Married,Central,Master,CoM ,2002.0,MBBS,Employed_parttime,2001,"MWK 600,001 – MWK 1,000,000",Living,Fully_paid,Phonecall,monthly_salary,convenient,effective,effective,positive,Regular follow-ups,neutral,Improve communication and follow-up
286,28 to 37,Male,Married,northern,Bachelor,CoM ,2016.0,MBBS,Employed_fulltime,2015,"MWK 600,001 – MWK 1,000,000",Living,not_paid,Email,monthly_salary,convenient,effective,effective,positive,Conduct root cause analysis ,Satisfied,"Simplify repayment methods, Reduce interest rates"
287,28 to 37,Male,Married,northern,Master,CoM ,2014.0,MBBS,Employed_fulltime,2013,"MWK 300,001 – MWK 500,000",Living,Partially_paid,Email,monthly_salary,convenient,effective,effective,positive,Use automated desicioning tools ,Satisfied,"Provide more flexible repayment plans, Reduce interest rates"
288,38 to 48,Male,Married,northern,Doctorate,CoM ,2013.0,MBBS,Employed_fulltime,2012,"MWK 600,001 – MWK 1,000,000",Living,Fully_paid,Phonecall,monthly_salary,convenient,effective,effective,positive,Provide mult language support ,Satisfied,"Improve communication and follow-up, Simplify repayment methods"
289,28 to 37,Female,Married,northern,Bachelor,CoM ,2016.0,MBBS,Employed_fulltime,2015,"MWK 600,001 – MWK 1,000,000",Living,Fully_paid,Email,monthly_salary,convenient,effective,effective,positive,Develop a succession planning strategy ,Satisfied,"Improve communication and follow-up, Reduce interest rates"
290,Above 49,Female,Divorced,northern,Doctorate,CoM ,1993.0,MBBS,Employed_parttime,1992,"MWK 600,001 – MWK 1,000,000",Living,Fully_paid,Inperson,oneoff,convenient,effective,effective,positive,Automate the system,Satisfied,"Provide more flexible repayment plans, Reduce interest rates"
291,28 to 37,Male,Married,northern,Master,CoM ,2012.0,MBBS,Employed_fulltime,2011,"MWK 300,001 – MWK 500,000",Living,Fully_paid,Email,monthly_salary,convenient,effective,effective,neutral,Conduct root cause analysis ,Satisfied,"Simplify repayment methods, Provide more flexible repayment plans"
292,21 to 27,Female,Married,northern,Bachelor,CoM ,2016.0,MBBS,Employed_fulltime,2015,"MWK 600,001 – MWK 1,000,000",Tuition_Living_Stationery,Fully_paid,Phonecall_Inperson,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Offer payment plans ,Very satisfied,"Simplify repayment methods, Reduce interest rates"
293,28 to 37,Male,Single,Central,Bachelor,Mzuni,2013.0,MBBS,Self_employed,2012,"Above MWK1,000,000",Tuition_Living,not_paid,Inperson,none,inconvenient,ineffective,neutral,neutral,Automate the system,neutral,"Improve communication and follow-up, Simplify repayment methods, Reduce interest rates"
294,21 to 27,Female,Married,northern,Master,CoM ,2016.0,MBBS,Employed_fulltime,2016,"MWK 600,001 – MWK 1,000,000",Tuition,Fully_paid,Phonecall_Inperson,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Conduct regular audits ,Very satisfied,"Improve communication and follow-up, Simplify repayment methods"
295,38 to 48,Female,Married,Southern,Bachelor,CoM ,2017.0,MBBS,Employed_fulltime,2016,"MWK 600,001 – MWK 1,000,000",Tuition_Living,Fully_paid,Phonecall_Inperson,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Use positive languages ,Very satisfied,"Simplify repayment methods, Reduce interest rates"
296,28 to 37,Female,Married,Southern,Bachelor,CoM ,2015.0,MBBS,Employed_fulltime,2014,"MWK 600,001 – MWK 1,000,000",Living_Stationery,Fully_paid,Phonecall_Inperson,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Celebrate success ,Very satisfied,"Improve communication and follow-up, Reduce interest rates"
297,21 to 27,Female,Married,Central,Bachelor,CoM ,2016.0,MBBS,Employed_fulltime,2015,"MWK 600,001 – MWK 1,000,000",Tuition_Living,Fully_paid,Phonecall_Inperson,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Use data analytics ,Very satisfied,"Improve communication and follow-up, Reduce interest rates"
298,Above 49,Male,Married,Southern,Doctorate,CoM ,2000.0,MBBS,Employed_fulltime,1999,"Above MWK1,000,000",Tuition_Living_Stationery,Fully_paid,Phonecall_Inperson,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Offer payment plans ,Very satisfied,"Improve communication and follow-up, Provide more flexible repayment plans"
299,Above 49,Female,Widowed,Southern,Doctorate,CoM ,2000.0,MBBS,Employed_fulltime,1999,"MWK 600,001 – MWK 1,000,000",Tuition_Living,Fully_paid,Phonecall_Inperson,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Leverage technology ,Very satisfied,"Provide more flexible repayment plans, Reduce interest rates"
300,21 to 27,Female,Single,Central,Bachelor,CoM ,2013.0,MBBS,Employed_fulltime,2013,"MWK 600,001 – MWK 1,000,000",Living,Fully_paid,Email_Phonecall,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Conduct regular audits ,Very satisfied,"Simplify repayment methods, Reduce interest rates"
301,28 to 37,Female,Divorced,Southern,Master,Mzuni,2017.0,MBBS,Employed_fulltime,2016,"Above MWK1,000,000",Tuition_Living,Partially_paid,Inperson,monthly_salary,neutral,neutral,ineffective,negative,Use scoring models,Dissatisfied,Reduce interest rates
302,28 to 37,Female,Married,Southern,Bachelor,CoM ,2010.0,MBBS,Employed_fulltime,2009,"MWK 600,001 – MWK 1,000,000",Tuition_Living,Fully_paid,Phonecall_Inperson,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Offer payment plans ,Very satisfied,"Simplify repayment methods, Reduce interest rates"
303,Above 49,Male,Divorced,Southern,Doctorate,CoM ,2000.0,MBBS,Employed_fulltime,1999,"MWK 600,001 – MWK 1,000,000",Tuition_Stationery,Fully_paid,Phonecall_Inperson,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Use data analytics ,Very satisfied,"Simplify repayment methods, Reduce interest rates"
304,Above 49,Male,Married,Central,Doctorate,CoM,2000.0,MBBS,Employed_fulltime,1999,"MWK 600,001 – MWK 1,000,000",Tuition_Living,Fully_paid,Inperson,monthly_salary,convenient,very_effective,effective,positive,Provide more loan collection agencies,Satisfied,"Improve communication and follow-up, Simplify repayment methods"
305,28 to 37,Male,Married,Southern,Bachelor,Mzuni,2013.0,MBBS,Employed_fulltime,2012,"MWK 600,001 – MWK 1,000,000",Tuition,not_paid,Employer,none,inconvenient,ineffective,neutral,neutral,Automate the system,neutral,"Improve communication and follow-up, Simplify repayment methods"
306,Above 49,Male,Married,Central,Master,CoM,2009.0,MBBS,Employed_fulltime,2008,"Less than MWK 200,000",Living,Fully_paid,Inperson,oneoff,convenient,effective,very_effective,positive,Rewards the early payments,Satisfied,Simplify repayment methods
307,38 to 48,Male,Married,Central,Master,Mzuni,2014.0,MBBS,Employed_parttime,2013,"Above MWK1,000,000",Tuition_Living,not_paid,Inperson,none,neutral,neutral,neutral,neutral,accountability_reporting,neutral,"Improve communication and follow-up, Simplify repayment methods, Reduce interest rates"
308,28 to 37,Female,Married,Southern,Bachelor,Mzuni,2011.0,MBBS,Employed_fulltime,2010,"Above MWK1,000,000",Tuition_Living,Partially_paid,Inperson,voluntary_monthly,inconvenient,ineffective,effective,positive,Automate the system,neutral,"Provide more flexible repayment plans, Reduce interest rates"
309,21 to 27,Male,Single,Southern,Bachelor,CoM,2016.0,MBBS,Employed_fulltime,2015,"Above MWK1,000,000",Tuition_Living,not_paid,Inperson,none,inconvenient,ineffective,neutral,neutral,Improve tracking with colleges,neutral,Improve communication and follow-up
310,28 to 37,Male,Single,northern,Bachelor,Mzuni,2016.0,MBBS,Employed_fulltime,2015,"Above MWK1,000,000",Tuition_Living,not_paid,Inperson,none,inconvenient,ineffective,neutral,neutral,Automate the system,neutral,Improve communication and follow-up
311,28 to 37,Male,Single,northern,Bachelor,Mzuni,2011.0,MBBS,Self_employed,2010,"Above MWK1,000,000",Tuition_Living,not_paid,Inperson,none,inconvenient,ineffective,neutral,neutral,Automate the system,neutral,"Improve communication and follow-up, Simplify repayment methods"
312,28 to 37,Male,Single,Central,Bachelor,Mzuni,2011.0,MBBS,Employed_fulltime,2010,"Above MWK1,000,000",Tuition_Living,not_paid,Employer,none,inconvenient,ineffective,neutral,neutral,Improve tracking with universities and colleges,neutral,"Improve communication and follow-up, Simplify repayment methods"
313,28 to 37,Male,Single,Southern,Bachelor,CoM,2011.0,MBBS,Employed_fulltime,2010,"Above MWK1,000,000",Tuition_Living,Partially_paid,Email,monthly_salary,inconvenient,ineffective,neutral,neutral,Improve tracking with colleges,neutral,"Improve communication and follow-up, Simplify repayment methods, Reduce interest rates"
314,21 to 27,Male,Single,northern,Bachelor,CoM,2011.0,MBBS,Self_employed,2010,"Above MWK1,000,000",Tuition_Living,not_paid,Email,none,inconvenient,ineffective,neutral,neutral,Improve tracking with colleges,neutral,"Improve communication and follow-up, Simplify repayment methods"
315,28 to 37,Male,Single,Central,Bachelor,Mzuni,2011.0,MBBS,Employed_fulltime,2010,"Above MWK1,000,000",Tuition_Living,not_paid,Inperson,none,inconvenient,ineffective,neutral,neutral,accountability_reporting,neutral,"Improve communication and follow-up, Provide more flexible repayment plans"
316,38 to 48,Female,Married,Southern,Master,CoM,2015.0,MBBS,Employed_fulltime,2014,"Above MWK1,000,000",Tuition_Living,Partially_paid,Inperson,voluntary_monthly,inconvenient,ineffective,neutral,neutral,accountability_reporting,neutral,"Improve communication and follow-up, Provide more flexible repayment plans"
317,28 to 37,Male,Married,Southern,Bachelor,Chanco,2015.0,Performing_Arts,Employed_parttime,2014,"Less than MWK 1,000,000",Tuition_Living,not_paid,Inperson,none,inconvenient,ineffective,ineffective,neutral,Automate the system,neutral,"Improve communication and follow-up, Simplify repayment methods, Provide more flexible repayment plans"
318,28 to 37,Male,Married,Central,Bachelor,MUST,2017.0,Pharmacy,Employed_fulltime,2016,"Less than MWK 200,000",Living,Fully_paid,Inperson,oneoff,convenient,effective,effective,positive,Automate the system,Satisfied,Simplify repayment methods
319,28 to 37,Female,Married,Southern,Bachelor,CoM ,2017.0,Pharmacy,Employed_parttime,2016,"MWK 600,001 – MWK 1,000,000",Tuition,not_paid,Inperson,none,neutral,neutral,neutral,neutral,Improve communication ,neutral,"Improve communication and follow-up, Simplify repayment methods"
320,21 to 27,Male,Single,Southern,Bachelor,MUST,2013.0,Pharmacy,Unemployed,2012,"Above MWK1,000,000",Tuition_Living,not_paid,Email,none,neutral,neutral,neutral,neutral,Automate system ,neutral,"Simplify repayment methods, Reduce interest rates"
321,28 to 37,Male,Single,Central,Bachelor,MUST,2013.0,Pharmacy,Employed_fulltime,2012,"Above MWK1,000,000",Tuition,not_paid,Inperson,none,inconvenient,ineffective,neutral,neutral,Improve tracking with universities,neutral,Improve communication and follow-up
322,Above 49,Male,Married,Southern,Doctorate,Mzuni,2007.0,Pharmacy,Employed_fulltime,2006,"Above MWK1,000,000",Tuition_Living,Partially_paid,Employer,monthly_salary,neutral,effective,neutral,neutral,Offer awards or low interest rate to timely settlements,neutral,Reduce interest rates
323,28 to 37,Male,Married,Central,Bachelor,Mzuni,2010.0,Pharmacy,Employed_fulltime,2009,"Above MWK1,000,000",Tuition_Living,Partially_paid,Employer,voluntary_monthly,inconvenient,ineffective,neutral,neutral,accountability_reporting,neutral,"Improve communication and follow-up, Reduce interest rates"
324,28 to 37,Male,Single,Central,Bachelor,CoM,2013.0,Pharmacy,Employed_fulltime,2012,"Above MWK1,000,000",Tuition_Living,Partially_paid,Inperson,monthly_salary,inconvenient,ineffective,neutral,neutral,Automate the system,neutral,Improve communication and follow-up
325,28 to 37,Female,Married,Southern,Bachelor,MUST,2013.0,Pharmacy,Self_employed,2012,"Above MWK1,000,000",Tuition_Living,not_paid,Inperson,none,inconvenient,ineffective,neutral,neutral,Automate the system,neutral,"Improve communication and follow-up, Provide more flexible repayment plans"
326,28 to 37,Male,Single,Central,Bachelor,MUST,2013.0,Pharmacy,Employed_fulltime,2012,"Above MWK1,000,000",Tuition_Living,not_paid,Inperson,none,inconvenient,ineffective,neutral,neutral,accountability_reporting,neutral,Improve communication and follow-up
327,28 to 37,Male,Married,Central,Bachelor,CoM,2013.0,Pharmacy,Employed_fulltime,2012,"Above MWK1,000,000",Tuition_Living,Partially_paid,Inperson,monthly_salary,inconvenient,ineffective,neutral,neutral,accountability_reporting,neutral,Improve communication and follow-up
328,28 to 37,Male,Single,northern,Bachelor,CoM,2016.0,Pharmacy,Employed_fulltime,2015,"Above MWK1,000,000",Tuition_Living,Partially_paid,Inperson,monthly_salary,inconvenient,ineffective,neutral,neutral,Automate the system,neutral,"Improve communication and follow-up, Reduce interest rates"
329,28 to 37,Male,Single,Southern,Bachelor,Mzuni,2016.0,Pharmacy,Unemployed,2015,"Above MWK1,000,000",Tuition_Living,not_paid,Inperson,none,inconvenient,ineffective,neutral,neutral,Automate the system,neutral,"Improve communication and follow-up, Reduce interest rates"
330,28 to 37,Male,Single,northern,Bachelor,Mzuni,2013.0,Pharmacy,Employed_parttime,2012,"Above MWK1,000,000",Tuition_Living,Partially_paid,Inperson,voluntary_monthly,inconvenient,ineffective,neutral,neutral,accountability_reporting,neutral,"Provide more flexible repayment plans, Reduce interest rates"
331,Above 49,Male,Single,Central,Bachelor,CoM,2015.0,Pharmacy,Employed_parttime,2014,"Above MWK1,000,000",Tuition_Living,not_paid,Email,none,inconvenient,ineffective,neutral,neutral,accountability_reporting,neutral,Improve communication and follow-up
332,28 to 37,Female,Married,northern,Bachelor,MUST,2011.0,Pharmacy,Employed_fulltime,2010,"MWK 600,001 – MWK 1,000,000",Tuition,not_paid,Email_Phonecall_Inperson,monthly_salary,neutral,effective,effective,positive,Schedule consistent check-ins to monitor progress and address concerns,Satisfied,"Improve communication and follow-up, Simplify repayment methods, Provide more flexible repayment plans"
333,38 to 48,Male,Married,Central,Master,Mzuni,2011.0,Pharmacy,Employed_fulltime,2010,"MWK 600,001 – MWK 1,000,000",Tuition_Living,Partially_paid,Email_Inperson,monthly_salary,convenient,effective,effective,positive,Technology integration,Satisfied,"Simplify repayment methods, Provide more flexible repayment plans, Reduce interest rates"
334,28 to 37,Male,Single,northern,Bachelor,MUST,2011.0,Pharmacy,Employed_fulltime,2010,"MWK 600,001 – MWK 1,000,000",Tuition_Living,Partially_paid,Inperson,monthly_salary,neutral,neutral,neutral,positive,Offer rewards for timely payments or early settlement,neutral,"Improve communication and follow-up, Simplify repayment methods"
335,28 to 37,Male,Single,Central,Master,MUST,2014.0,Pharmacy,Employed_fulltime,2013,"Above MWK1,000,000",Tuition_Living,not_paid,Inperson,none,inconvenient,ineffective,neutral,neutral,Automate the system,neutral,"Improve communication and follow-up, Reduce interest rates"
336,21 to 27,Female,Single,Central,Bachelor,Mzuni,2014.0,Pharmacy,Employed_fulltime,2013,"Above MWK1,000,000",Tuition_Living,not_paid,Inperson,none,inconvenient,ineffective,neutral,neutral,Automate the system,neutral,"Improve communication and follow-up, Provide more flexible repayment plans"
337,28 to 37,Male,Single,northern,Bachelor,MUST,2017.0,Pharmacy,Self_employed,2016,"Above MWK1,000,000",Tuition_Living,not_paid,Inperson,none,inconvenient,ineffective,neutral,neutral,Improve tracking with universities,neutral,Improve communication and follow-up
338,38 to 48,Male,Married,Central,Bachelor,CoM,2011.0,Pharmacy,Employed_fulltime,2010,"MWK 600,001 – MWK 1,000,000",Tuition,Fully_paid,Email,monthly_salary,neutral,effective,effective,positive,CoMpliance,Satisfied,"Improve communication and follow-up, Reduce interest rates"
339,21 to 27,Male,Single,Southern,Bachelor,Mzuni,2011.0,Pharmacy,Employed_parttime,2010,"MWK 600,001 – MWK 1,000,000",Living,Partially_paid,Email,monthly_salary,convenient,effective,effective,positive,Develop a borrower segmentation strategy ,Satisfied,Simplify repayment methods
340,28 to 37,Female,Married,northern,Bachelor,CoM,2011.0,Pharmacy,Employed_fulltime,2010,"MWK 600,001 – MWK 1,000,000",Living_Stationery,Partially_paid,Email,monthly_salary,neutral,effective,neutral,positive,Use machine learning and AI techniques to analyse borrowers data,neutral,Reduce interest rates
341,21 to 27,Female,Single,northern,Bachelor,MUST,2011.0,Pharmacy,Employed_fulltime,2018,"Above MWK1,000,000",Tuition_Living,not_paid,Email_Inperson,none,neutral,neutral,neutral,neutral,Improve tracking with universities and colleges,neutral,"Improve communication and follow-up, Simplify repayment methods, Reduce interest rates"
342,21 to 27,Female,Married,Central,Bachelor,Mzuni,2016.0,Pharmacy,Employed_fulltime,2015,"Above MWK1,000,000",Tuition_Living,not_paid,Inperson,none,inconvenient,Very ineffective,neutral,neutral,Improve tracking with colleges,neutral,"Improve communication and follow-up, Provide more flexible repayment plans"
343,28 to 37,Female,Married,Central,Bachelor,Mzuni,2017.0,Pharmacy,Employed_parttime,2016,"Above MWK1,000,000",Tuition_Living,not_paid,Inperson,none,inconvenient,ineffective,neutral,neutral,Improve tracking with universities,neutral,"Improve communication and follow-up, Reduce interest rates"
344,28 to 37,Male,Single,Central,Bachelor,MUST,2011.0,Pharmacy,Employed_fulltime,2010,"Above MWK1,000,000",Tuition_Living,not_paid,Inperson,none,inconvenient,ineffective,neutral,neutral,Automate the system,neutral,"Provide more flexible repayment plans, Reduce interest rates"
345,28 to 37,Male,Married,Central,Bachelor,MUST,2017.0,Pharmacy,Employed_fulltime,2016,"Above MWK1,000,000",Tuition_Living,not_paid,Inperson,none,inconvenient,ineffective,neutral,neutral,accountability_reporting,neutral,"Improve communication and follow-up, Simplify repayment methods"
346,28 to 37,Male,Married,Central,Master,Chanco,2015.0,Education_Science,Employed_fulltime,2014,"Less than MWK 1,000,000",Tuition_Stationery,Fully_paid,Socialmedia,oneoff,convenient,ineffective,effective,positive,See responses to question 25,Satisfied,Improve communication and follow-up
347,28 to 37,Female,Married,Southern,Master,Chanco,2015.0,Education_Science,Employed_fulltime,2014,"Less than MWK 1,000,000",Stationery,Fully_paid,Employer,monthly_salary,very_convenient,effective,effective,positive,Automate the system,Satisfied,"Improve communication and follow-up, Simplify repayment methods, Provide more flexible repayment plans"
348,28 to 37,Female,Single,Central,Master,Poly,2013.0,Education_Science,Employed_fulltime,2012,"Less than MWK 1,000,000",Tuition,not_paid,SMS,none,neutral,effective,effective,neutral,Automate the system,Satisfied,"Improve communication and follow-up, Provide more flexible repayment plans"
349,28 to 37,Male,Married,Southern,Master,Chanco,2015.0,Education_Science,Employed_fulltime,2014,"MWK 1,000,001 – MWK 2,000,000",Tuition_Stationery,Fully_paid,Email,monthly_salary,convenient,effective,effective,positive,Automate the system,Satisfied,"Improve communication and follow-up, Simplify repayment methods, Provide more flexible repayment plans, Reduce interest rates"
350,28 to 37,Male,Single,Central,Bachelor,Chanco,2015.0,Education_Science,Employed_fulltime,2015,"Above MWK1,000,000",Tuition_Living_Stationery,not_paid,SMS,none,inconvenient,ineffective,neutral,negative,Automate the system,neutral,"Improve communication and follow-up, Simplify repayment methods"
351,28 to 37,Female,Single,Central,Bachelor,Chanco,2014.0,Education_Science,Employed_fulltime,2014,"Less than MWK 1,000,000",Tuition_Living,Fully_paid,Media ,voluntary_monthly,convenient,effective,effective,neutral,Collaborating with the private sector ,Satisfied,Improve communication and follow-up
352,28 to 37,Female,Single,Central,Bachelor,Mzuni,2016.0,Education_Science,Employed_fulltime,2015,"Above MWK1,000,000",Tuition_Living_Stationery,not_paid,SMS,none,very_convenient,very_effective,very_effective,very_positive,"Constant engagement with defaulters,  engage loan collection agencies to help in collecting the loans.",Very satisfied,"Improve communication and follow-up, Simplify repayment methods, Provide more flexible repayment plans, Reduce interest rates"
353,38 to 48,Male,Married,Central,Master,Chanco,2002.0,Education_Science,Self_employed,2001,"Less than MWK 1,000,000",Tuition_Stationery,Fully_paid,Email,oneoff,convenient,effective,neutral,positive,Automate the system,Satisfied,Improve communication and follow-up
354,28 to 37,Male,Married,northern,Bachelor,Luanar,2011.0,Education_Science,Employed_fulltime,2010,"MWK 1,000,001 – MWK 2,000,000",Tuition,not_paid,Employer,none,inconvenient,ineffective,neutral,very_positive,Automate the system,Dissatisfied,"Improve communication and follow-up, Simplify repayment methods"
